player_id,player_name,season,position,pp_goals_per60,pp_primary_assists_per60,pp_points_per60,pp_shots_per60,pp_xg_per60,pp_icetime_pct,pp_points_share,o_zone_start_pct,d_zone_start_pct,zone_start_diff
8445550,Rob Blake,2008,D,1.2678288431061808,1.2678288431061808,4.754358161648177,19.968304278922346,1.262123613312203,0.12194545844964569,0.3333333333333333,0.28390804597701147,0.3057471264367816,-0.02183908045977012
8445550,Rob Blake,2009,D,1.5350175887432043,0.38375439718580107,3.0700351774864085,18.80396546210425,1.4264150943396225,0.10606351826517575,0.26666666666666666,0.23349056603773585,0.375,-0.14150943396226415
8445735,Rod Brind'Amour,2008,C,1.6947822675559043,1.9772459788152217,5.931737936445665,7.626520204001569,1.3795527657905062,0.1399365372157625,0.4117647058823529,0.36238044633368754,0.31562167906482463,0.04675876726886291
8445735,Rod Brind'Amour,2009,C,1.329394387001477,0.6646971935007385,2.658788774002954,5.317577548005908,1.8737813884785819,0.09050045952042778,0.21052631578947367,0.3582089552238806,0.3200663349917081,0.038142620232172464
8445739,Patrice Brisebois,2008,D,1.4625228519195612,0.3656307129798903,2.5594149908592323,9.87202925045704,0.7963436928702011,0.16647504396050317,0.3888888888888889,0.3903420523138833,0.22937625754527163,0.16096579476861167
8446053,Chris Chelios,2008,D,0.0,0.0,0.0,0.0,0.0,0.0015299877600979193,0.0,0.35403726708074534,0.2360248447204969,0.11801242236024845
8446053,Chris Chelios,2009,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.358974358974359,-0.20512820512820512
8446485,Kris Draper,2008,C,0.0,0.0,0.0,0.0,0.0,0.006369654040358984,0.0,0.2398477157360406,0.49619289340101524,-0.25634517766497467
8446485,Kris Draper,2009,C,0.0,0.0,0.0,0.0,0.7071428571428571,0.007987163487252629,0.0,0.27886056971514245,0.3448275862068966,-0.06596701649175413
8446485,Kris Draper,2010,C,0.0,0.0,0.0,0.0,0.0,0.0030540568054565815,0.0,0.25120772946859904,0.427536231884058,-0.17632850241545894
8446788,Sergei Fedorov,2008,C,0.8556149732620321,0.8556149732620321,5.133689839572193,9.83957219251337,0.9587165775401069,0.16332828694538257,0.36363636363636365,0.33064516129032256,0.25806451612903225,0.07258064516129031
8447958,Bobby Holik,2008,C,0.0,0.0,3.0927835051546393,9.278350515463918,0.5690721649484537,0.030711590723199917,0.1111111111111111,0.33791208791208793,0.2692307692307692,0.06868131868131871
8448208,Jaromir Jagr,2011,R,1.382276148057134,1.382276148057134,4.699738903394255,9.952388266011365,1.4541545077561049,0.18203167591595956,0.3148148148148148,0.44798890429958393,0.1678224687933426,0.2801664355062413
8448208,Jaromir Jagr,2012,R,2.366863905325444,0.9467455621301776,3.7869822485207103,14.674556213017754,2.0071005917159765,0.1536643026004728,0.22857142857142856,0.432967032967033,0.20659340659340658,0.2263736263736264
8448208,Jaromir Jagr,2013,R,1.344688480502017,1.6136261766024205,4.034065441506051,8.874943971313312,1.3304347826086957,0.14201296427927307,0.22388059701492538,0.47863247863247865,0.15705128205128205,0.3215811965811966
8448208,Jaromir Jagr,2014,R,1.0604870384917517,1.4139827179890023,3.1814611154752552,7.776904948939514,1.0908876669285152,0.12545889077783526,0.19148936170212766,0.3861003861003861,0.22136422136422138,0.16473616473616473
8448208,Jaromir Jagr,2015,R,0.8759834536458756,0.8759834536458756,2.6279503609376267,8.175845567361506,1.2657960905182903,0.15233023623603836,0.13636363636363635,0.36486486486486486,0.1981981981981982,0.16666666666666666
8448208,Jaromir Jagr,2016,R,2.0132619637293283,0.8628265558839978,3.4513062235359913,10.92913637453064,2.1052967963569547,0.15164401153352233,0.2608695652173913,0.4345679012345679,0.1925925925925926,0.2419753086419753
8448208,Jaromir Jagr,2017,R,0.0,1.8054162487462388,1.8054162487462388,10.832497492477433,0.8936810431293882,0.11579558652729384,0.14285714285714285,0.4620253164556962,0.12658227848101267,0.33544303797468356
8448772,Claude Lemieux,2008,R,0.0,0.0,0.0,0.0,0.0,0.00894692298391972,0.0,0.30985915492957744,0.14084507042253522,0.16901408450704222
8449645,Mike Modano,2008,C,0.6957418024866328,1.3914836049732655,3.9425368807575856,9.740385234812859,0.6846099336468466,0.17679753077983165,0.3695652173913043,0.33263598326359833,0.33263598326359833,0.0
8449645,Mike Modano,2009,C,1.1037301992846194,1.4716402657128258,3.3111905978538583,7.358201328564129,0.8336842105263158,0.19677043114543114,0.3,0.4858569051580699,0.22795341098169716,0.2579034941763727
